  Research Vessel Schedules from https://www.researchvessels.org

<http://www.researchvessels.org/ship_info_display.asp?shipID=122>
This schedule for this ship was last updated on: 1/15/2002 2:41:34 PM

Field Key
Ship Name 	Departure Date 	Departure Port 	General Area 	Discipline
Endeavor    	7/12/2003    	Narra   	  	unk   	NA6  
Endeavor    	8/11/2003    	Narra   	  	unk   	NA6  
Endeavor    	10/1/2003    	Narra   	  	unk   	 
Endeavor    	11/16/2003    	Narra   	  	transit   	NA6  
Endeavor    	11/17/2003    	WHOI   	  	unk   	NA6  
Endeavor    	12/3/2003    	WHOI   	  	unk   	NA6  
Endeavor    	12/8/2003    	Narra   	  	unk   	NA6  
Endeavor    	12/16/2003    	WHOI   	  	transit   	NA6  
Endeavor    	1/8/2004    	Narra   	  	transit   	NA6  
Endeavor    	1/10/2004    	Woods Hole   	N W Atlantic   	unk   	NA6  
Endeavor    	1/17/2004    	Woods Hole   	  	phys oc   	NA6  
Endeavor    	1/20/2004    	Woods Hole   	  	unk   	NA6  
Endeavor    	1/30/2004    	Woods Hole   	  	unk   	NA6  
Endeavor    	3/1/2004    	Narragansett   	  	unk   	NA6  
Endeavor    	3/7/2004    	Norfolk   	N W Atlantic   	bio   	NA6,NA9  
Endeavor    	3/30/2004    	Bridgetown   	  	transit   	NA6,NA7  
Endeavor    	4/21/2004    	Narra   	  	unk   	NA6  
Endeavor    	5/11/2004    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	6/4/2004    	Narra   	N W Atlantic   	unk   	NA4  
Endeavor    	6/23/2004    	Narra   	  	unk   	NA6  
Endeavor    	7/16/2004    	Narra   	  	unk   	NA6  
Endeavor    	8/8/2004    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	8/19/2004    	Narra   	N W Atlantic   	unk   	NA4  
Endeavor    	9/3/2004    	St. Johns Newfoundland   	  	phys oc   	NA6  
Endeavor    	9/19/2004    	Bergen, Norway   	  	unk   	NA2,NA5  
Endeavor    	10/7/2004    	Torshavn, Faroe Is.   	  	transit   	NA4  
Endeavor    	10/27/2004    	Narragansett   	  	unk   	NA6  
Endeavor    	11/29/2004    	Narragansett   	  	unk   	NA6  
Endeavor    	1/25/2005    	Narragansett   	  	transit   	NA6,NA8  
Endeavor    	2/14/2005    	Port La Nouvelle   	  	unk   	NA8  
Endeavor    	3/3/2005    	Port La Nouvelle   	  	transit   	NA8  
Endeavor    	3/8/2005    	Nice   	  	port   	NA8  
Endeavor    	3/18/2005    	Monaco   	  	transit   	NA8,NA9  
Endeavor    	3/27/2005    	Istanbul   	  	unk   	NA8  
Endeavor    	4/9/2005    	Istanbul   	  	transit   	NA8  
Endeavor    	4/18/2005    	Port La Nouvelle   	  	unk   	NA8  
Endeavor    	5/6/2005    	Port La Nouvelle   	  	unk   	NA8  
Endeavor    	5/20/2005    	Port La Nouvalle   	  	unk   	NA8  
Endeavor    	6/3/2005    	Port La Nouvelle   	  	transit   	NA6,NA7,NA  
Endeavor    	6/25/2005    	Narragansett   	  	unk   	NA6  
Endeavor    	7/8/2005    	Narragansett   	  	unk   	NA6,NA7,NA  
Endeavor    	7/31/2005    	Bridgetown   	  	transit   	NA6,NA7  
Endeavor    	8/16/2005    	Narragansett   	  	unk   	NA6  
Endeavor    	9/12/2005    	Narragansett   	  	unk   	NA6  
Endeavor    	9/21/2005    	Narragansett   	  	phys oc   	NA6  
Endeavor    	10/4/2005    	Narragansett   	  	unk   	NA6  
Endeavor    	10/14/2005    	Narragansett   	  	phys oc   	NA6  
Endeavor    	12/12/2005    	Narragansett   	  	unk   	NA6  
Endeavor    	1/1/2006    	Narragansett, RI   	  	unk   	 
Endeavor    	2/21/2006    	Narragansett   	  	unk   	 
Endeavor    	3/15/2006    	Narragansett   	  	transit   	NA8  
Endeavor    	4/8/2006    	Nice, FR   	  	unk   	NA8  
Endeavor    	4/18/2006    	Nice, France   	  	transit   	NA8  
Endeavor    	4/26/2006    	Heraklion, Greece   	  	unk   	NA8  
Endeavor    	5/7/2006    	Istanbul   	unk   	unk   	NA8  
Endeavor    	5/14/2006    	Yalta, Ukraine   	unk   	unk   	NA8  
Endeavor    	5/25/2006    	Yalta, Ukraine   	unk   	unk   	NA8  
Endeavor    	5/28/2006    	Istanbul   	unk   	unk   	NA8  
Endeavor    	6/10/2006    	Santorini, Greece   	  	unk   	NA8  
Endeavor    	6/20/2006    	Herkalion, Greece   	  	transit   	NA8  
Endeavor    	7/15/2006    	Narragansett, RI   	N W Atlantic   	unk   	NA6  
Endeavor    	7/20/2006    	Norfolk, VA   	N W Atlantic   	unk   	NA6  
Endeavor    	7/31/2006    	Narragansett, RI   	  	unk   	NA6  
